id,custom_label_3,custom_label_4
FFS-FLP,p4_tail,Shasta Series
FF-RGOP170,p4_tail,
FFS-ESM,p4_tail,FFS Silver Series
FF-RGOP140,p4_tail,
FFS-DBCT,p4_tail,Shasta Series
FF-RGOP120,p4_tail,
FFS-DAP,p2_core,FFS Silver Series
FF-RGOP100,p4_tail,
FFS-CSMP,p4_tail,Shasta Series
FFS-CP,p3_catalog,Shasta Series
FFS-CLP,p4_tail,Shasta Series
FF-SM900,p3_catalog,SM200 Series
FF-SR6,p4_tail,
FF-X90-HLP,p4_tail,
FF-X90,p2_core,
FF-RCHD5-50,p1_hero,
FF-RCHD2-5-22-5,p4_tail,
FF-RCHD5-75,p2_core,
FF-RCHD5-100,p1_hero,
FF-RCHD2-5-25,p4_tail,
FFM-PSM,p3_catalog,Marin Series
FF-E620T,p2_core,
FF-E600,p3_catalog,
FF-UB620T,p3_catalog,
FF-UB600,p3_catalog,
FF-UB320T,p4_tail,
FF-CIOWP335,p4_tail,
10269254254908,p4_tail,
FF-VAIL-TPSD,p3_catalog,Vail Series
FF-VAIL-HTGM,p4_tail,Vail Series
FF-X10LP,p3_catalog,
FF-FSR110,p4_tail,FSR Series
FF-U12OWP170-V2,p4_tail,
10247596147004-52534108160316,p4_tail,
10247596147004-52534108193084,p4_tail,
10247596147004-52534108225852,p4_tail,
10247596147004-52534108258620,p4_tail,
10247596147004-52534108291388,p4_tail,
10247596147004-52534105538876,p3_catalog,
10247596147004-52534108324156,p2_core,
10247596147004-52534105506108,p4_tail,
10247596147004-52534108356924,p4_tail,
10247596147004-52534100721980,p4_tail,
10247596147004-52534100754748,p4_tail,
10247596147004-52534100787516,p4_tail,
10247596147004-52534100820284,p4_tail,
10247596147004-52534100853052,p4_tail,
10247596147004-52534100885820,p4_tail,
10247596147004-52534100918588,p4_tail,
10247596147004-52534100951356,p4_tail,
10247596147004-52534100984124,p4_tail,
10247596147004-52534101016892,p4_tail,
10247596147004-52534101049660,p4_tail,
10247596147004-52534101082428,p4_tail,
10247596147004-52534101115196,p4_tail,
10247596147004-52534101147964,p4_tail,
10247596147004-52534101180732,p4_tail,
10247596147004-52534101213500,p4_tail,
10247596147004-52534101246268,p4_tail,
10247596147004-52534101279036,p4_tail,
10247596147004-52534101311804,p4_tail,
10247596147004-52534101344572,p4_tail,
10247596147004-52534101377340,p4_tail,
10247596147004-52534101410108,p4_tail,
10247596147004-52534101442876,p4_tail,
10247596147004-52534101475644,p4_tail,
10247596147004-52534101508412,p4_tail,
10247596147004-52534101541180,p4_tail,
10247596147004-52534101573948,p4_tail,
10247596147004-52534101606716,p4_tail,
10247596147004-52534101639484,p4_tail,
10247596147004-52534101672252,p4_tail,
10247596147004-52534101705020,p4_tail,
10247596147004-52534101737788,p3_catalog,
10247596147004-52534101770556,p4_tail,
10247596147004-52534101803324,p3_catalog,
10247596147004-52534101836092,p4_tail,
10247596147004-52534101868860,p4_tail,
FF-U12OWP140-V2,p4_tail,
FF-U12OWP120-V2,p4_tail,
FF-U12OWP100-V2,p4_tail,
FF-U12OWP70-V2,p4_tail,
FFS-LPDLR-V2,p4_tail,Shasta Series
FF-RB600,p2_core,
FF-UB310,p4_tail,
FF-U12OWP50-V2,p4_tail,
FF-RB620T,p2_core,
FF-HPB100-47,p4_tail,
FF-WMRFT21,p3_catalog,Wall Mounted Cable Column Series
FF-WMRFT11,p4_tail,Wall Mounted Cable Column Series
FF-UB300,p4_tail,
FF-T300,p4_tail,
FF-CA-FGK10,p3_catalog,
FF-RGOP495,p4_tail,
FFB-CAFID,p4_tail,
FF-E320T,p4_tail,
FF-E310,p4_tail,
FF-MAB40D-AL,p4_tail,
FF-RB300,p4_tail,
FF-MFAB-ACLE-V3,p4_tail,
FF-T850,p1_hero,
FF-SM920T,p3_catalog,SM200 Series
FF-RB310,p4_tail,
FF-RB320T,p4_tail,
FFO-FLPPL,p4_tail,
FF-ST300,p4_tail,
FF-ST200,p4_tail,
FF-TRIDE-DCC,p4_tail,Telluride Series
FF-CAP,p3_catalog,
FF-VP100,p4_tail,
FF-T400,p4_tail,
FF-PLHSLP,p2_core,
10124211355964,p4_tail,Vail Series
FF-RIG24,p4_tail,Rack & Rig Series
FF-TRIDE-SLE,p2_core,Telluride Series
FF-VAIL-GM,p3_catalog,Vail Series
FF-E420T,p4_tail,
FF-RR-JBS-96-CM,p4_tail,
FF-FSR40,p4_tail,FSR Series
FFM-PLISPL,p3_catalog,Marin Series
FF-TRIDE-GM,p3_catalog,Telluride Series
FF-TRIDE-TR,p2_core,Telluride Series
FF-TRIDE-TPSD,p2_core,Telluride Series
FF-TRIDE-PLC,p2_core,Telluride Series
FF-TRIDE-SLC,p2_core,Telluride Series
FF-TRIDE-HTGM,p4_tail,Telluride Series
FF-RIG15,p4_tail,Rack & Rig Series
FF-CIKB115,p4_tail,
FF-UB420T,p4_tail,
FF-CIKB106,p4_tail,
FF-VAIL-SAC,p3_catalog,Vail Series
FF-TRIDE-SAC,p2_core,Telluride Series
FF-VKB520,p4_tail,
FF-CMFGM-4,p4_tail,
FF-VKB570,p4_tail,
FF-URPSD55-100-V2,p4_tail,
FF-URPSD55-75-V2,p4_tail,
FF-URPSD5-100-V2,p4_tail,
FF-URPSD5-75-V2,p4_tail,
FF-URPSD5-60-V2,p4_tail,
FF-URPSD5-50-V2,p4_tail,
FF-URPSD100-V2,p4_tail,
FF-URPSD95-V2,p4_tail,
FF-URPSD90-V2,p4_tail,
FF-URPSD85-V2,p4_tail,
FF-URPSD80-V2,p4_tail,
FF-URPSD75-V2,p4_tail,
FF-URPSD70-V2,p4_tail,
FF-URPSD65-V2,p4_tail,
FF-URPSD60-V2,p4_tail,
FF-URPSD55-V2,p4_tail,
FF-URPSD50-V2,p4_tail,
FF-URPSD45-V2,p4_tail,
FF-URPSD40-V2,p4_tail,
FF-URPSD35-V2,p4_tail,
FFS-LPSCR,p1_hero,Shasta Series
FFT-LPSCR,p1_hero,Tahoe Series
10019813589308,p4_tail,
FF-RR-GHDR,p4_tail,
FF-RR-HTBA,p4_tail,
FF-3TS15PDR-V2,p3_catalog,
FF-RR-USA,p4_tail,
FF-ADMAB,p3_catalog,
FF-UB400,p4_tail,
