feed,current_id,new_id,product_id,title,in_tims_114
googleshoppingfs,9878882386236,ST-4TR-10IN,9878882386236,"Star Trac 4 Series Treadmill w/10"" LCD - Black - High-Quality, Full Ma",YES
googleshoppingfs,9878885237052,ST-4TR-15-ATSC,9878885237052,"Star Trac 4 Series Treadmill w/15"" Embedded Display - Black - High-Qua",YES
googleshoppingfs,9878886285628,ST-4UB-10-TS,9878886285628,"Star Trac 4 Series Upright Bike w/10"" Touch Display - Black - High-Qua",YES
googleshoppingfs,9878887792956,ST-4UB-10IN,9878887792956,"Star Trac 4 Series Upright Bike w/10"" LCD - Black - High-Quality, Full",YES
googleshoppingfs,9878889857340,ST-4UB-15-ATSC,9878889857340,"Star Trac 4 Series Upright Bike w/15"" Embedded Display - Black - High-",YES
googleshoppingfs,9878891036988,ST-8CT-16-ATSC,9878891036988,"Star Trac 8 Series Cross Trainer w/16"" Embedded Display - Black - Comm",YES
googleshoppingfs,9878893527356,ST-8RB-16-ATSC,9878893527356,"Star Trac 8 Series Recumbent Bike w/16"" Embedded Display - Black - Com",YES
googleshoppingfs,9878898540860,ST-8RDE-16-ATSC,9878898540860,"Star Trac 8 Series Rear Drive Elliptical w/16"" Embedded Display - Blac",YES
googleshoppingfs,9878898540860,ST-8RDE-16-ATSC-OOB,9878898540860,"Star Trac 8 Series Rear Drive Elliptical w/16"" Embedded Display - Blac",YES
googleshoppingfs,9878900179260,ST-8TR-20-ATSC,9878900179260,"Star Trac 8 Series TR Treadmill w/20"" Embedded Display - Black - Comme",YES
googleshoppingfs,9878900179260,ST-8TR-20-ATSC-OOB,9878900179260,"Star Trac 8 Series TR Treadmill w/20"" Embedded Display - Black - Comme",YES
googleshoppingfs,9878902636860,ST-8TRX-20-ATSC,9878902636860,"Star Trac 8 Series TRX Treadmill w/20"" Embedded Display - Black - Comm",YES
googleshoppingfs,9878904209724,ST-8UB-16-ATSC,9878904209724,"Star Trac 8 Series Upright Bike w/16"" Embedded Display - Black - Comme",YES
googleshoppingfs,9878905291068,ST-8VB-79QS,9878905291068,"Star Trac Virtual Bike Indoor Cycle w/21"" Touchscreen - Commercial Gra",YES
googleshoppingfs,9878906241340,ST-8VS-16-ATSC,9878906241340,"Star Trac 8 Series Versastrider w/16"" Embedded Display - Black - Comme",YES
googleshoppingfs,9878907355452,ST-FL114,9878907355452,"Star Trac Angled Linear Leg Press FL-114 - Remanufactured in USA, 1-Ye",YES
googleshoppingfs,9878908010812,st-imab,9878908010812,"Star Trac Instinct Multi Adjustable Bench - Remanufactured in USA, 1-Y",YES
googleshoppingfs,9878908567868,ST-KUSAP0,9878908567868,"Star Trac S Series TRC Treadmill w/LCD - Black - Commercial Grade, Ful",YES
googleshoppingfs,9878909124924,ST-KUSAP3,9878909124924,"Star Trac S Series TRX Treadmill w/LCD - Black - High-Quality, Full Ma",YES
