metaobject_id,name,current,correct,products,product_id,sku,condition_state,status,in_feed_collection
gid://shopify/Metaobject/127713837372,Precor RBK 885 Recumbent Bike w/ P82 Console (New) -- PRE-RBK885-P82,New,new,1,9878587736380,PRE-RBK885-P82,New,ARCHIVED,no
gid://shopify/Metaobject/146927255868,Stairmaster 10 Series 10G Gauntlet w/ LED Display (New) -- SM-10G-LED-,New,new,1,10013842964796,SM-10G-LED-60,New,ACTIVE,yes
gid://shopify/Metaobject/127730254140,"StairMaster 8 Series Freeclimber w/16"" Embedded Display - Black (New) ",New,new,1,9878788440380,SM-8FC-16-ATSC,New,ACTIVE,yes
gid://shopify/Metaobject/146867454268,"StairMaster 8 Series FreeClimber w/16"" Touch Display (New) -- SM-8FC-1",New,new,1,10012785803580,SM-8FC-16IN-60,New,ACTIVE,yes
gid://shopify/Metaobject/127730352444,StairMaster 8 Series Freeclimber w/LCD 9-5260-8FC-LCD-60BLK - Black (N,New,new,1,9878789128508,SM-8FC-LCD,New,ACTIVE,no
gid://shopify/Metaobject/146851332412,StairMaster 8 Series FreeClimber w/ LED Display (New) -- SM-8FC-LED-60,New,new,1,10012945547580,SM-8FC-LED-60,New,ACTIVE,yes
gid://shopify/Metaobject/146940133692,"Stairmaster 8 Series Gauntlet X w/16"" Touch Display (New) -- SM-8Gx-16",New,new,1,10013916070204,SM-8Gx-16IN-60,New,ARCHIVED,no
gid://shopify/Metaobject/146941968700,Stairmaster 8 Series Gauntlet X w/ LED (New) -- SM-8Gx-LED-60,New,new,1,10014042784060,SM-8Gx-LED-60,New,ACTIVE,yes
gid://shopify/Metaobject/127731794236,Versaclimber SM-M Magnetic Cardio Climber (New) -- SM-M,New,new,1,9878798926140,SM-M,New,ACTIVE,no
gid://shopify/Metaobject/127731859772,"Stairmaster 8 Series Freeclimber w/10"" Touch Display - Black (New) -- ",New,new,1,9878801023292,SM-SM-8FC-10,New,ARCHIVED,no
gid://shopify/Metaobject/127731925308,StairMaster SM3 StepMill w/ LCD (D-1) Console (New) -- SM3D1,New,new,1,9878809444668,SM3D1,New,ARCHIVED,no
gid://shopify/Metaobject/127732154684,Versaclimber SMA Sport Model (New) -- SMA,New,new,1,9878821306684,SMA,New,UNLISTED,no
gid://shopify/Metaobject/127690015036,Versaclimber SRM Sport Rehab Model (New) -- SRM,New,new,1,9878859186492,SRM,New,ACTIVE,no
gid://shopify/Metaobject/135299563836,Throwdown HIIT Rower 9-4850-KINTP0 (New) -- TD-HIITROW-9-4850,New,new,1,9929995911484,TD-HIITROW-9-4850,New,ACTIVE,no
gid://shopify/Metaobject/135299596604,Throwdown HIIT Ski 9-4890-KINTP0 (New) -- TD-HIITSKI-9-4890,New,new,1,9929996304700,TD-HIITSKI-9-4890,New,ACTIVE,no
gid://shopify/Metaobject/127708365116,Trueform Enduro Non-Motorized Treadmill (New) -- TFET,New,new,1,9879025549628,TFET,New,ACTIVE,yes
gid://shopify/Metaobject/127708463420,Trueform Low-Rider Non-Motorized Treadmill (New) -- TFLRT,New,new,1,9879027056956,TFLRT,New,ACTIVE,yes
gid://shopify/Metaobject/127708594492,Trueform Performance Non-Motorized Treadmill (New) -- TFPT,New,new,1,9879027810620,TFPT,New,ACTIVE,yes
gid://shopify/Metaobject/127708692796,Trueform Walking Desk Non-Motorized Treadmill (New) -- TFWDT,New,new,1,9879028728124,TFWDT,New,ACTIVE,yes
gid://shopify/Metaobject/127718228284,Versaclimber TS-A Cardio Climber (New) -- TS-A,New,new,1,9879125885244,TS-A,New,UNLISTED,no
gid://shopify/Metaobject/127718359356,VersaClimber TS-Magnetic (New) -- TS-M,New,new,1,9879127490876,TS-M,New,ACTIVE,no
gid://shopify/Metaobject/127725601084,Octane XT1 XT-One Elliptical w/Standard Console (New) -- XT-ONE-NEW,New,new,1,9879213769020,XT-ONE-NEW,New,ARCHIVED,no
gid://shopify/Metaobject/124822290748,Versaclimber CL-108ALX Versa Climber (New) -- cl108alx,New,new,1,9878570828092,cl108alx,New,ARCHIVED,no
gid://shopify/Metaobject/124822389052,Versaclimber CL-108H Stair Climber (New) -- cl108h,New,new,1,9878572695868,cl108h,New,ARCHIVED,no
gid://shopify/Metaobject/124822782268,Versaclimber CL-108 HP Stair Climber (New) -- cl108hp,New,new,1,9878574694716,cl108hp,New,ARCHIVED,no
gid://shopify/Metaobject/124822815036,Versaclimber CL-108LX Versa Climber (New) -- cl108lx,New,new,1,9878576070972,cl108lx,New,ARCHIVED,no
gid://shopify/Metaobject/124823535932,Concept2 RowErg Indoor Rower w/PM5 Console (New) -- con2rowerg,New,new,1,9878587670844,con2rowerg,New,ACTIVE,no
gid://shopify/Metaobject/124823830844,Concept2 Skierg w/ PM5 Console (New) -- con2skierg,New,new,1,9878589505852,con2skierg,New,ACTIVE,no
gid://shopify/Metaobject/124996682044,"GoldenDesigns DYN-6202-03 Dynamic ""Andora"" Low EMF Far Infrared Sauna ",New,new,1,9878784934204,dyn6202-03,New,ARCHIVED,no
gid://shopify/Metaobject/124996747580,"GoldenDesigns DYN-6336-01 Dynamic ""Lugano"" Low EMF Far Infrared Sauna ",New,new,1,9878786474300,dyn633601,New,ARCHIVED,no
gid://shopify/Metaobject/124996813116,"GoldenDesigns DYN-6440-01 Dynamic ""Bergamo"" Low EMF Far Infrared Sauna",New,new,1,9878787227964,dyn644001,New,ACTIVE,no
gid://shopify/Metaobject/127716655420,"GoldenDesigns MX-J206-02S Maxxus ""Aspen"" Dual Tech Low EMF FAR IR Saun",New,new,1,9879229890876,mxj20602s,New,ARCHIVED,no
gid://shopify/Metaobject/127716720956,"GoldenDesigns MX-J306-02S Maxxus ""Alpine"" Dual Techology Low EMF FAR I",New,new,1,9879230611772,mxj30602s,New,ACTIVE,no
gid://shopify/Metaobject/127722946876,Power Plate Pro5 HP - Matte Black (New) -- pro5hp,New,new,1,9878656647484,pro5hp,New,ACTIVE,yes
